Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Acanthixalus sonjae,AMPHIBIA,VU,Forest important,Decreasing,1999,96761.26,NA,NA,NA,1782,5662,0,0,7444,0.760612574,0,0,0.239387426,8,Threatened,0,0
Acanthixalus spinosus,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,959095,176948,247364,40772,1424179,0.124245618,0.173688841,0.028628424,0.673437117,2,Not Threatened,0.202317265,40
Adelastes hylonomos,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,0,182,0,0,182,1,0,0,0,8,Data Deficient,0,0
Adelophryne adiastola,AMPHIBIA,LC,Forest unimportant,Stable,NA,NA,NA,NA,NA,71798,41136,123623,23398,259955,0.158242773,0.475555385,0.090007886,0.276193957,2,Not Threatened,0.565563271,60
Adelophryne patamona,AMPHIBIA,DD,Forest important,Unknown,NA,NA,378,1714,NA,21,0,9,2,32,0,0.28125,0.0625,0.65625,3,Data Deficient,0.34375,40
Adenomera coca,AMPHIBIA,LC,Forest important,Stable,NA,82,200,1100,NA,60,49,0,0,109,0.449541284,0,0,0.550458716,2,Not Threatened,0,0
Adenomera heyeri,AMPHIBIA,LC,Forest important,Stable,NA,NA,-300,900,NA,95934,73188,45897,24951,239970,0.304988124,0.191261408,0.103975497,0.399774972,2,Not Threatened,0.295236905,40
Adenomera lutzi,AMPHIBIA,EN,Forest important,Decreasing,NA,3704.06,130,1800,NA,3397,273,6,0,3676,0.074265506,0.001632209,0,0.924102285,16,Threatened,0.001632209,20
Aglyptodactylus australis,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,705,-53,650,NA,152,102,0,0,254,0.401574803,0,0,0.598425197,16,Threatened,0,0
Alcalus sariba,AMPHIBIA,EN,Forest important,Decreasing,NA,888.87,NA,NA,NA,6,0,90,32,128,0,0.703125,0.25,0.046875,16,Threatened,0.953125,99
Allobates amissibilis,AMPHIBIA,VU,Forest important,Decreasing,NA,141.7,-140,1250,NA,0,199,0,0,199,1,0,0,0,8,Threatened,0,0
Allobates bromelicola,AMPHIBIA,VU,Forest important,Unknown,NA,8,1010,1800,NA,5,33,0,0,38,0.868421053,0,0,0.131578947,8,Threatened,0,0
Allobates granti,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-200,1030,NA,13054,22994,35,3368,39451,0.582849611,8.87E-04,0.085371727,0.330891486,2,Not Threatened,0.086258903,20
Allobates nidicola,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,24,0,0,0,24,0,0,0,1,8,Data Deficient,0,0
Allobates sanmartini,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-240,400,NA,0,361,0,18,379,0.952506596,0,0.047493404,0,8,Data Deficient,0.047493404,20
Aneides hardii,AMPHIBIA,LC,Forest unimportant,Stable,NA,NA,NA,NA,NA,41665,0,0,0,41665,0,0,0,1,2,Not Threatened,0,0
Anilany helenae,AMPHIBIA,CR,Forest important,Decreasing,NA,29.4,1200,NA,NA,0,9,0,0,9,1,0,0,0,32,Threatened,0,0
Anodonthyla boulengeri,AMPHIBIA,NT,Forest important,Decreasing,NA,24370,-300,500,NA,32163,1071,0,0,33234,0.032226034,0,0,0.967773966,4,Not Threatened,0,0
Anodonthyla emilei,AMPHIBIA,EN,Forest important,Decreasing,NA,824,600,1300,NA,119,496,0,0,615,0.806504065,0,0,0.193495935,16,Threatened,0,0
Anodonthyla hutchisoni,AMPHIBIA,EN,Forest important,Decreasing,NA,430,-290,1080,NA,182,398,0,0,580,0.686206897,0,0,0.313793103,16,Threatened,0,0
Anodonthyla jeanbai,AMPHIBIA,EN,Forest important,Decreasing,NA,963,1248,1848,NA,0,18,0,0,18,1,0,0,0,16,Threatened,0,0
Anodonthyla moramora,AMPHIBIA,EN,Forest important,Decreasing,NA,685,250,1300,NA,119,498,0,0,617,0.80713128,0,0,0.19286872,16,Threatened,0,0
Anodonthyla nigrigularis,AMPHIBIA,EN,Forest important,Decreasing,NA,2272,-300,800,NA,1213,168,0,0,1381,0.121650978,0,0,0.878349022,16,Threatened,0,0
Anodonthyla pollicaris,AMPHIBIA,DD,Forest important,Unknown,NA,745,470,1300,NA,525,113,0,0,638,0.177115987,0,0,0.822884013,8,Data Deficient,0,0
Anodonthyla rouxae,AMPHIBIA,EN,Forest important,Unknown,NA,795,1248,2200,NA,87,8,0,0,95,0.084210526,0,0,0.915789474,16,Threatened,0,0
Anomaloglossus kaiei,AMPHIBIA,EN,Forest important,Stable,NA,3604.89,-150,1360,NA,2859,574,534,224,4191,0.136960153,0.127415891,0.053447864,0.682176092,16,Threatened,0.180863756,20
Anomaloglossus stepheni,AMPHIBIA,LC,Forest unimportant,Stable,NA,NA,NA,NA,NA,15227,9597,9,3908,28741,0.333913225,3.13E-04,0.135973,0.529800633,2,Not Threatened,0.136286142,20
Anomaloglossus surinamensis,AMPHIBIA,LC,Forest important,Unknown,NA,NA,-300,900,NA,55169,25766,26178,6409,113522,0.226969222,0.230598474,0.056456017,0.485976287,2,Not Threatened,0.287054492,40
Aphantophryne minuta,AMPHIBIA,LC,Forest unimportant,Unknown,NA,523.48,2100,3000,NA,24,0,0,0,24,0,0,0,1,2,Not Threatened,0,0
Aphantophryne nana,AMPHIBIA,NT,Forest important,Stable,NA,812.1,0,1500,NA,118,43,0,0,161,0.267080745,0,0,0.732919255,4,Not Threatened,0,0
Arthroleptis reichei,AMPHIBIA,LC,Forest important,Decreasing,NA,78775,1200,2500,NA,4570,1817,0,0,6387,0.284484108,0,0,0.715515892,2,Not Threatened,0,0
Barygenys atra,AMPHIBIA,LC,Forest important,Stable,NA,11247,-300,1000,NA,7021,279,0,0,7300,0.038219178,0,0,0.961780822,2,Not Threatened,0,0
Arthroleptis stridens,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,0,600,NA,18,5,0,0,23,0.217391304,0,0,0.782608696,24,Data Deficient,0,0
Barygenys cheesmanae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1770,2890,NA,85,0,0,0,85,0,0,0,1,3,Data Deficient,0,0
Arthroleptis sylvaticus,AMPHIBIA,LC,Forest important,Stable,NA,NA,NA,1600,NA,681240,143110,225730,39828,1089908,0.131304661,0.207109224,0.036542534,0.625043582,2,Not Threatened,0.243651758,40
Barygenys exsul,AMPHIBIA,LC,Forest important,Stable,NA,3246,-300,1020,NA,1251,0,0,0,1251,0,0,0,1,2,Not Threatened,0,0
Arthroleptis tanneri,AMPHIBIA,EN,Forest important,Decreasing,NA,940,1100,2300,NA,233,148,0,0,381,0.388451444,0,0,0.611548556,16,Threatened,0,0
Barygenys flavigularis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1800,2900,NA,12,10,0,0,22,0.454545455,0,0,0.545454545,3,Data Deficient,0,0
Arthroleptis tuberosus,AMPHIBIA,DD,Forest unimportant,Decreasing,NA,1769417,NA,NA,NA,857370,155287,266117,46649,1325423,0.117160333,0.200778921,0.035195556,0.646865189,3,Data Deficient,0.235974478,40
Barygenys maculata,AMPHIBIA,LC,Forest important,Unknown,NA,1427,600,1825,NA,1088,0,0,0,1088,0,0,0,1,2,Not Threatened,0,0
Arthroleptis variabilis,AMPHIBIA,LC,Forest important,Decreasing,NA,NA,-300,1500,NA,928403,160667,265323,44787,1399180,0.1148294,0.189627496,0.032009463,0.663533641,2,Not Threatened,0.221636959,40
Barygenys parvula,AMPHIBIA,NT,Forest important,Unknown,NA,699,900,1800,NA,417,0,0,0,417,0,0,0,1,4,Not Threatened,0,0
Arthroleptis xenodactylus,AMPHIBIA,EN,Forest important,Decreasing,NA,678,-100,1540,NA,465,199,0,0,664,0.299698795,0,0,0.700301205,16,Threatened,0,0
Barygenys resima,AMPHIBIA,LC,Forest important,Unknown,NA,79,0,630,NA,2372,0,0,0,2372,0,0,0,1,2,Not Threatened,0,0
Blommersia angolafa,AMPHIBIA,LC,Forest important,Decreasing,NA,34586,-210,808,NA,16623,3045,0,0,19668,0.154820012,0,0,0.845179988,2,Not Threatened,0,0
Asterophrys leucopus,AMPHIBIA,LC,Forest important,Stable,NA,33868,650,2000,NA,11510,43,0,0,11553,0.003721977,0,0,0.996278023,2,Not Threatened,0,0
Boana curupi,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,0,1000,NA,0,0,2464,52,2516,0,0.979332273,0.020667727,0,2,Not Threatened,1,99
Asterophrys pullifer,AMPHIBIA,DD,Forest important,Unknown,NA,NA,50,1150,NA,0,0,0,18,18,0,0,1,0,11,Data Deficient,1,100
Boana nympha,AMPHIBIA,LC,Forest important,Unknown,NA,249002,-180,900,NA,94176,26939,75671,20165,216951,0.124170896,0.348793045,0.092947255,0.434088803,2,Not Threatened,0.441740301,60
Asterophrys slateri,AMPHIBIA,LC,Forest important,Stable,NA,62739,-200,1400,NA,50385,3265,0,0,53650,0.060857409,0,0,0.939142591,2,Not Threatened,0,0
Bolitoglossa copia,AMPHIBIA,CR,Forest important,Unknown,4,4,1015,1615,NA,0,4,0,0,4,1,0,0,0,32,Threatened,0,0
Austrochaperina adamantina,AMPHIBIA,NT,Forest important,Unknown,NA,208,40,1850,NA,2274,0,0,0,2274,0,0,0,1,4,Not Threatened,0,0
Bolitoglossa copinhorum,AMPHIBIA,EN,Forest important,Decreasing,NA,1480,1600,3080,NA,0,0,104,407,511,0,0.203522505,0.796477495,0,16,Threatened,1,100
Austrochaperina aquilonia,AMPHIBIA,NT,Forest unimportant,Unknown,NA,181,430,1720,NA,2145,0,0,0,2145,0,0,0,1,4,Not Threatened,0,0
Bokermannohyla vulcaniae,AMPHIBIA,VU,Forest unimportant,Unknown,NA,NA,700,1300,NA,6,0,0,0,6,0,0,0,1,8,Threatened,0,0
Bolitoglossa cuchumatana,AMPHIBIA,EN,Forest important,Decreasing,NA,4664,900,2800,NA,0,0,3077,361,3438,0,0.894997091,0.105002909,0,16,Threatened,1,100
Austrochaperina archboldi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,1100,1700,NA,197,0,0,0,197,0,0,0,1,3,Data Deficient,0,0
Bolitoglossa altamazonica,AMPHIBIA,LC,Forest important,Stable,NA,NA,NA,1800,NA,909393,418000,267911,435628,2030932,0.205816837,0.131915298,0.214496596,0.44777127,2,Not Threatened,0.346411894,40
Bolitoglossa cuna,AMPHIBIA,EN,Forest important,Decreasing,NA,1506,-290,1018,NA,4,0,1043,0,1047,0,0.996179561,0,0.003820439,16,Threatened,0.996179561,99
Austrochaperina brevipes,AMPHIBIA,DD,Forest unimportant,Unknown,NA,9251,1700,2300,NA,147,0,0,0,147,0,0,0,1,3,Data Deficient,0,0
Bolitoglossa alvaradoi,AMPHIBIA,VU,Forest important,Decreasing,NA,6016,-285,1416,NA,1410,900,800,221,3331,0.270189132,0.240168118,0.066346443,0.423296307,8,Threatened,0.30651456,40
Bolitoglossa daryorum,AMPHIBIA,EN,Forest important,Decreasing,NA,240,1935,3060,NA,72,47,7,5,131,0.358778626,0.053435115,0.038167939,0.549618321,16,Threatened,0.091603053,20
Austrochaperina fryi,AMPHIBIA,LC,Forest unimportant,Stable,NA,NA,NA,NA,NA,1860,1535,654,3958,8007,0.191707256,0.081678531,0.494317472,0.23229674,2,Not Threatened,0.575996003,60
Bolitoglossa decora,AMPHIBIA,CR,Forest important,Decreasing,NA,68.05,1130,1850,NA,0,89,0,0,89,1,0,0,0,32,Threatened,0,0
Bolitoglossa diaphora,AMPHIBIA,EN,Forest important,Decreasing,NA,137.45,1170,2500,NA,3,103,0,0,106,0.971698113,0,0,0.028301887,16,Threatened,0,0
Bolitoglossa diminuta,AMPHIBIA,LC,Forest important,Stable,NA,16,1000,1950,NA,0,28,0,0,28,1,0,0,0,2,Not Threatened,0,0
Bolitoglossa dunni,AMPHIBIA,EN,Forest important,Decreasing,NA,1706,900,1900,NA,43,304,0,0,347,0.876080692,0,0,0.123919308,16,Threatened,0,0
