Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore
Acanthixalus sonjae,AMPHIBIA,VU,Forest important,Decreasing,1999,96761.26,NA,NA,NA,1782,5662,0,0,7444,0.760612574,0,0,0.239387426,8
Adenomera coca,AMPHIBIA,LC,Forest important,Stable,NA,82,200,1100,NA,60,49,0,0,109,0.449541284,0,0,0.550458716,2
Allobates amissibilis,AMPHIBIA,VU,Forest important,Decreasing,NA,141.7,-140,1250,NA,0,199,0,0,199,1,0,0,0,8
Allobates bromelicola,AMPHIBIA,VU,Forest important,Unknown,NA,8,1010,1800,NA,5,33,0,0,38,0.868421053,0,0,0.131578947,8
Allobates nidicola,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,24,0,0,0,24,0,0,0,1,8
Allobates sanmartini,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-240,400,NA,0,361,0,18,379,0.952506596,0,0.047493404,0,8
Anilany helenae,AMPHIBIA,CR,Forest important,Decreasing,NA,29.4,1200,NA,NA,0,9,0,0,9,1,0,0,0,32
Anodonthyla emilei,AMPHIBIA,EN,Forest important,Decreasing,NA,824,600,1300,NA,119,496,0,0,615,0.806504065,0,0,0.193495935,16
Anodonthyla jeanbai,AMPHIBIA,EN,Forest important,Decreasing,NA,963,1248,1848,NA,0,18,0,0,18,1,0,0,0,16
Anodonthyla moramora,AMPHIBIA,EN,Forest important,Decreasing,NA,685,250,1300,NA,119,498,0,0,617,0.80713128,0,0,0.19286872,16
Anodonthyla rouxae,AMPHIBIA,EN,Forest important,Unknown,NA,795,1248,2200,NA,87,8,0,0,95,0.084210526,0,0,0.915789474,16
Aphantophryne nana,AMPHIBIA,NT,Forest important,Stable,NA,812.1,0,1500,NA,118,43,0,0,161,0.267080745,0,0,0.732919255,4
Barygenys cheesmanae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1770,2890,NA,85,0,0,0,85,0,0,0,1,3
Barygenys flavigularis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1800,2900,NA,12,10,0,0,22,0.454545455,0,0,0.545454545,3
Barygenys maculata,AMPHIBIA,LC,Forest important,Unknown,NA,1427,600,1825,NA,1088,0,0,0,1088,0,0,0,1,2
Barygenys resima,AMPHIBIA,LC,Forest important,Unknown,NA,79,0,630,NA,2372,0,0,0,2372,0,0,0,1,2
Boana curupi,AMPHIBIA,LC,Forest unimportant,Unknown,NA,NA,0,1000,NA,0,0,2464,52,2516,0,0.979332273,0.020667727,0,2
Bolitoglossa copia,AMPHIBIA,CR,Forest important,Unknown,4,4,1015,1615,NA,0,4,0,0,4,1,0,0,0,32
Austrochaperina adamantina,AMPHIBIA,NT,Forest important,Unknown,NA,208,40,1850,NA,2274,0,0,0,2274,0,0,0,1,4
Austrochaperina aquilonia,AMPHIBIA,NT,Forest unimportant,Unknown,NA,181,430,1720,NA,2145,0,0,0,2145,0,0,0,1,4
Austrochaperina archboldi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,1100,1700,NA,197,0,0,0,197,0,0,0,1,3
Bolitoglossa diminuta,AMPHIBIA,LC,Forest important,Stable,NA,16,1000,1950,NA,0,28,0,0,28,1,0,0,0,2
Bolitoglossa eremia,AMPHIBIA,EN,Forest important,Decreasing,NA,241,1315,2960,NA,0,0,19,0,19,0,1,0,0,16
Bolitoglossa obscura,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1255,1855,NA,0,17,0,0,17,1,0,0,0,11
Bolitoglossa suchitanensis,AMPHIBIA,CR,Forest important,Unknown,4,8,1550,2320,NA,0,10,0,0,10,1,0,0,0,32
Bolitoglossa pacaya,AMPHIBIA,EN,Forest important,Decreasing,NA,661,1400,2600,NA,101,14,0,0,115,0.12173913,0,0,0.87826087,16
Bryophryne hanssaueri,AMPHIBIA,LC,Forest important,Stable,NA,28.9,2800,4000,NA,9,17,0,0,26,0.653846154,0,0,0.346153846,2
Bryophryne phuyuhampatu,AMPHIBIA,LC,Forest important,Unknown,NA,10.3,2495,3150,NA,2,3,0,0,5,0.6,0,0,0.4,2
Bolitoglossa tica,AMPHIBIA,DD,Forest important,Unknown,NA,96,1445,2800,NA,5,27,0,0,32,0.84375,0,0,0.15625,11
Bolitoglossa veracrucis,AMPHIBIA,EN,Forest important,Decreasing,2586,3083.99,-300,800,NA,1788,19,706,12,2525,0.007524752,0.27960396,0.004752475,0.708118812,16
Bolitoglossa yariguiensis,AMPHIBIA,EN,Forest important,Decreasing,NA,138.73,464,1773,NA,0,153,0,0,153,1,0,0,0,16
Caecilia pressula,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-50,550,NA,262,0,0,0,262,0,0,0,1,3
Bolitoglossa zapoteca,AMPHIBIA,EN,Forest important,Unknown,NA,435,1575,2175,NA,0,0,80,0,80,0,1,0,0,16
Brachycephalus alipioi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,615,1215,NA,161,0,0,0,161,0,0,0,1,3
Brachycephalus brunneus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,21,0,0,0,21,0,0,0,1,3
Chiropterotriton miquihuanus,AMPHIBIA,EN,Forest important,Stable,NA,375,2311,3381,NA,175,42,0,0,217,0.193548387,0,0,0.806451613,16
Chiropterotriton nubilus,AMPHIBIA,CR,Forest important,Unknown,NA,78,1220,2323,NA,116,1,0,0,117,0.008547009,0,0,0.991452991,32
Chiropterotriton orculus,AMPHIBIA,VU,Forest important,Decreasing,NA,14592,2200,3500,NA,1836,955,174,222,3187,0.299654848,0.054596799,0.069657986,0.576090367,8
Callulops marmoratus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,550,1200,NA,0,203,0,0,203,1,0,0,0,3
Chiropterotriton perotensis,AMPHIBIA,CR,Forest important,Decreasing,NA,26,2650,4315,NA,14,19,0,0,33,0.575757576,0,0,0.424242424,32
Callulops mediodiscus,AMPHIBIA,LC,Forest important,Unknown,NA,404,1300,2050,NA,29,0,0,0,29,0,0,0,1,2
Callulops neuhaussi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,400,1000,NA,16,0,0,0,16,0,0,0,1,11
Choerophryne allisoni,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1700,2800,NA,107,0,0,0,107,0,0,0,1,3
Callulops stellatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,727,-110,830,NA,739,0,0,0,739,0,0,0,1,2
Choerophryne amomani,AMPHIBIA,DD,Forest important,Unknown,NA,NA,750,1500,NA,0,0,0,8,8,0,0,1,0,3
Choerophryne arndtorum,AMPHIBIA,DD,Forest important,Unknown,NA,NA,200,1000,NA,0,0,6,9,15,0,0.4,0.6,0,3
Choerophryne bickfordi,AMPHIBIA,LC,Forest unimportant,Stable,NA,15,-225,600,NA,0,28,0,0,28,1,0,0,0,2
Callulops valvifer,AMPHIBIA,LC,Forest important,Stable,NA,6868,0,1200,NA,166,56,2108,281,2611,0.021447721,0.807353504,0.107621601,0.063577173,2
Callulops yapenensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,0,1000,NA,0,0,8,10,18,0,0.444444444,0.555555556,0,11
Choerophryne murrita,AMPHIBIA,LC,Forest important,Stable,NA,2432,1100,2480,NA,1544,1,0,0,1545,6.47E-04,0,0,0.999352751,2
Choerophryne nigrescens,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-295,1120,NA,0,0,8,10,18,0,0.444444444,0.555555556,0,3
Choerophryne pipiens,AMPHIBIA,LC,Forest important,Unknown,NA,NA,1300,1900,NA,0,0,0,18,18,0,0,1,0,2
Choerophryne sanguinopicta,AMPHIBIA,CR,Forest important,Decreasing,NA,26,1100,1840,NA,25,0,0,0,25,0,0,0,1,32
Choerophryne siegfriedi,AMPHIBIA,CR,Forest important,Decreasing,NA,10,2100,2800,NA,25,0,0,0,25,0,0,0,1,32
Choerophryne tubercula,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1325,1925,NA,14,0,0,0,14,0,0,0,1,11
Cophixalus ateles,AMPHIBIA,LC,Forest important,Stable,NA,482,300,2170,NA,624,0,0,0,624,0,0,0,1,2
