Scenario,Country,Taxa,Area,Value,pValue
SR,ARG,All,buff10,34.992310063214,0
SR,ARG,All,buff50,41.935480776035,0
SR,ARG,All,out,54.7445753717842,0
SR,ARG,Amphibia,buff10,0.131370053795772,0
SR,ARG,Aves,buff10,31.0854060223778,0
SR,ARG,Mammalia,buff10,2.95292555176101,0
SR,ARG,Reptilia,buff10,0.822608435279415,0
SR,AUS,All,buff10,-2.62672434963098,0
SR,AUS,All,buff50,5.58743777584456,0
SR,AUS,All,out,31.7122148757469,0
SR,AUS,Amphibia,buff10,0.340536529101865,0
SR,AUS,Aves,buff10,-2.82551542018621,0
SR,AUS,Mammalia,buff10,-0.346164745543265,0
SR,AUS,Reptilia,buff10,0.204419286996631,0
SR,BDI,All,buff10,6.36905832358192,0
SR,BDI,All,buff50,27.5034506817708,0
SR,BDI,All,out,41.2182503320181,0
SR,BDI,Amphibia,buff10,0.20124841955012,0
SR,BDI,Aves,buff10,5.97062410109081,0
SR,BDI,Mammalia,buff10,0.066480695868911,0.479
SR,BDI,Reptilia,buff10,0.130705107072083,0
SR,BEN,All,buff10,-8.62495894525384,0
SR,BEN,All,buff50,-13.752037847121,0
SR,BEN,All,out,-39.1061060885908,0
SR,BEN,Amphibia,buff10,0,1
SR,BEN,Aves,buff10,-5.86570787744037,0
SR,BEN,Mammalia,buff10,-2.51708540557408,0
SR,BEN,Reptilia,buff10,-0.242165662239385,0
SR,BGD,All,buff10,14.2329785718627,0
SR,BGD,All,buff50,16.2993913922218,0
SR,BGD,All,out,45.9421090914679,0
SR,BGD,Amphibia,buff10,0,1
SR,BGD,Aves,buff10,12.7890038728773,0
SR,BGD,Mammalia,buff10,0.833070846924075,0
SR,BGD,Reptilia,buff10,0.610903852061393,0
SR,BLZ,All,buff10,3.68959122141263,0
SR,BLZ,All,buff50,8.93384408722474,0
SR,BLZ,All,out,11.2408359341335,0
SR,BLZ,Amphibia,buff10,0.000499430137407,0.594
SR,BLZ,Aves,buff10,2.8107690512677,0
SR,BLZ,Mammalia,buff10,0.654705386019657,0
SR,BLZ,Reptilia,buff10,0.223617353987827,0
SR,BOL,All,buff10,17.918749890897,0
SR,BOL,All,buff50,15.9716077811047,0
SR,BOL,All,out,11.942014807479,0
SR,BOL,Amphibia,buff10,0.090951181578991,0
SR,BOL,Aves,buff10,15.133849329535,0
SR,BOL,Mammalia,buff10,1.87990781714694,0
SR,BOL,Reptilia,buff10,0.814041562636234,0
SR,BRA,All,buff10,-0.320959608393139,0.023
SR,BRA,All,buff50,20.1262025416732,0
SR,BRA,All,out,82.6221831697268,0
SR,BRA,Amphibia,buff10,-0.787754412524716,0
SR,BRA,Aves,buff10,-1.84838128253602,0
SR,BRA,Mammalia,buff10,0.509780904641637,0
SR,BRA,Reptilia,buff10,1.80539518202605,0
SR,CAF,All,buff10,-10.8117226273738,0
SR,CAF,All,buff50,2.5660508756777,0
SR,CAF,All,out,24.9718991938229,0
SR,CAF,Amphibia,buff10,-0.229223936486942,0
SR,CAF,Aves,buff10,-7.78956270059962,0
SR,CAF,Mammalia,buff10,-2.01248292972956,0
SR,CAF,Reptilia,buff10,-0.780453060557637,0
SR,CHN,All,buff10,-7.28571453610689,0
