Scenario,Country,Taxa,Area,Min,TukeyLH,Median,TukeyUH,Max
SR,ARG,All,IPL,20,71,82,186,287
SR,AUS,All,IPL,5,85,116,155,174
SR,BDI,All,IPL,140,166,178,189,206
SR,BEN,All,IPL,62,75,79,82,91
SR,BGD,All,IPL,104,122,133,141,184
SR,BLZ,All,IPL,230,238,274,276,284
SR,BOL,All,IPL,18,200,290,380,538
SR,BRA,All,IPL,15,404,427,485,572
SR,CAF,All,IPL,51,78,90,116,301
SR,CHN,All,IPL,7,107,142,171,300
SR,CIV,All,IPL,55,82,99,125,142
SR,CMR,All,IPL,40,89,125,301,341
SR,COD,All,IPL,23,101,187,219,334
SR,COG,All,IPL,178,249,259,274,320
SR,COL,All,IPL,34,335,419,443,541
SR,CRI,All,IPL,9,224,288,321,383
SR,DMA,All,IPL,32,33,34,35,38
SR,ECU,All,IPL,20,442,543,555,592
SR,ETH,All,IPL,23,55,62,68,84
SR,GAB,All,IPL,195,254,266,283,327
SR,GTM,All,IPL,42,164,194,267,289
SR,GUF,All,IPL,120,461,467,472,480
SR,GUY,All,IPL,130,401,429,449,484
SR,HND,All,IPL,1,188,222,286,303
SR,IDN,All,IPL,0,134,168,254,313
SR,IND,All,IPL,1,117,195,235,301
SR,KEN,All,IPL,35,64,88,112,180
SR,KHM,All,IPL,127,177,189,204,259
SR,LAO,All,IPL,133,259,282,292,323
SR,LKA,All,IPL,86,91,92,93,102
SR,MEX,All,IPL,1,125,165,202,276
SR,MMR,All,IPL,24,218,254,269,309
SR,MYS,All,IPL,5,266,286,299,346
SR,NCL,All,IPL,0,17,29,32,38
SR,NGA,All,IPL,14,87,106,122,219
SR,NIC,All,IPL,41,159,294,305,340
SR,NPL,All,IPL,44,153,172,193,253
SR,PAK,All,IPL,22,51,60,75,98
SR,PAN,All,IPL,1,273,335,344,437
SR,PER,All,IPL,4,402,525,546,593
SR,PHL,All,IPL,11,142,156,164,187
SR,PRY,All,IPL,74,229,250,259,274
SR,RWA,All,IPL,62,145,165,189,222
SR,SLV,All,IPL,89,149,157,161,198
SR,SUR,All,IPL,114,452,460,467,480
SR,TGO,All,IPL,63,65,66,69,83
SR,THA,All,IPL,3,227,258,280,314
SR,TWN,All,IPL,54,88,96,104,113
SR,TZA,All,IPL,46,77,86,98,129
SR,UGA,All,IPL,47,77,108,191,263
SR,USA,All,IPL,1,68,76,79,87
SR,VEN,All,IPL,2,340,410,437,478
SR,VNM,All,IPL,136,222,248,277,314
TS,ARG,All,IPL,2,2.08571434020996,2.10294127464294,2.33935022354126,3.39130425453186
TS,AUS,All,IPL,2,2.07228922843933,2.09230780601501,2.14678907394409,2.50819683074951
TS,BDI,All,IPL,2.33707857131958,2.38578677177429,2.40211629867554,2.5290322303772,2.63157892227173
TS,BEN,All,IPL,2.39473676681519,2.73170733451843,2.76923084259033,2.78947377204895,2.89552235603333
TS,BGD,All,IPL,2.37037038803101,2.542635679245,2.56451606750488,2.59090900421143,2.79999995231628
TS,BLZ,All,IPL,2.17573213577271,2.20863318443298,2.23462498188019,2.24369740486145,2.29197072982788
TS,BOL,All,IPL,2,2.15322589874268,2.18465900421143,2.21509432792664,2.53968262672424
TS,BRA,All,IPL,2.075688123703,2.15094327926636,2.1873767375946,2.32974147796631,3.43333339691162
TS,CAF,All,IPL,2,2.07575750350952,2.0991735458374,2.3614456653595,2.63157892227173
TS,CHN,All,IPL,2,2.15217399597168,2.25,2.40000009536743,2.84888887405396
TS,CIV,All,IPL,2.07500004768372,2.43689322471619,2.5,2.59999990463257,2.79487180709839
TS,CMR,All,IPL,2.04999995231628,2.3092782497406,2.34482765197754,2.37837839126587,3.16176462173462
TS,COD,All,IPL,2.02105259895325,2.19069766998291,2.29064035415649,2.3631284236908,3.03370785713196
TS,COG,All,IPL,2.13106799125671,2.27924537658691,2.30740737915039,2.35078525543213,2.42578125
TS,COL,All,IPL,2.01204824447632,2.11752128601074,2.13501143455505,2.15360498428345,3.95000004768372
TS,CRI,All,IPL,2.16860461235046,2.29152536392212,2.33557057380676,2.39199995994568,3.73913049697876
TS,DMA,All,IPL,2.16666674613953,2.17142868041992,2.18181824684143,2.1875,2.55555558204651
TS,ECU,All,IPL,2,2.15732359886169,2.16216206550598,2.22342348098755,3.40268445014954
TS,ETH,All,IPL,2.44444441795349,2.56716418266296,2.63333344459534,2.73333334922791,3.5652174949646
TS,GAB,All,IPL,2.14761900901794,2.31545734405518,2.34586477279663,2.364661693573,2.436363697052
TS,GTM,All,IPL,2,2.22545456886292,2.32941174507141,2.46715331077576,3.13131308555603
TS,GUF,All,IPL,2.13392853736877,2.14498925209045,2.14675045013428,2.14935064315796,2.22068977355957
TS,GUY,All,IPL,2.10884356498718,2.15296792984009,2.16475963592529,2.1879518032074,2.39846754074097
TS,HND,All,IPL,2,2.23958325386047,2.29999995231628,2.34224605560303,4.64705896377564
TS,IDN,All,IPL,0,2.35625004768372,3.04878044128418,3.40077829360962,6.66666650772095
TS,IND,All,IPL,2,2.33603239059448,2.45491814613342,2.53191494941711,9
TS,KEN,All,IPL,2.07575750350952,2.20161294937134,2.42352938652039,2.78787875175476,3.08571434020996
TS,KHM,All,IPL,2.4245810508728,2.59405946731567,2.79816508293152,3.03296709060669,3.35999989509583
TS,LAO,All,IPL,2.1294116973877,2.40845060348511,2.48780488967896,2.6241135597229,3.31313133239746
TS,LKA,All,IPL,2.16494846343994,2.20454549789429,2.25531911849976,2.26086950302124,2.2745099067688
TS,MEX,All,IPL,2,2.19444441795349,2.23703694343567,2.32203388214111,3.70078730583191
TS,MMR,All,IPL,2.08536577224731,2.436363697052,2.52272725105286,2.60986542701721,3.12550616264343
TS,MYS,All,IPL,2.24475526809692,3.06289315223694,3.2159469127655,3.33333325386047,3.77419352531433
TS,NCL,All,IPL,0,2.71428561210632,2.85714292526245,3.69696974754334,8
TS,NGA,All,IPL,2.24836611747742,2.33009719848633,2.35714292526245,2.38461542129517,4.14285707473755
TS,NIC,All,IPL,2.17283940315247,2.30379748344421,2.33783793449402,2.35999989509583,2.55483865737915
TS,NPL,All,IPL,2.01418447494507,2.21176481246948,2.26347303390503,2.31213879585266,2.70909094810486
TS,PAK,All,IPL,2,2.01298689842224,2.03773593902588,2.11320757865906,2.36363625526428
TS,PAN,All,IPL,2,2.24477601051331,2.31686043739319,2.37822341918945,4.85714292526245
TS,PER,All,IPL,2,2.14619874954224,2.1860466003418,2.21139717102051,4.25
TS,PHL,All,IPL,2.14285707473755,2.82857131958008,3.00719428062439,3.17073178291321,3.62831854820251
TS,PRY,All,IPL,2.07058835029602,2.26315784454346,2.33707857131958,2.36434102058411,2.4347825050354
TS,RWA,All,IPL,2.06060600280762,2.38790738582611,2.43151366710663,2.53144776821136,3.10843372344971
TS,SLV,All,IPL,2.17105269432068,2.19875764846802,2.24516129493713,2.28749990463257,2.59649133682251
TS,SUR,All,IPL,2.13555550575256,2.14743590354919,2.14967465400696,2.15265488624573,2.22260284423828
TS,TGO,All,IPL,2.44776129722595,2.46875,2.85714292526245,2.8970365524292,2.93939399719238
TS,THA,All,IPL,2.27860689163208,2.47014927864075,2.51485157012939,2.66086959838867,8.66666698455811
TS,TWN,All,IPL,2.30379748344421,2.52830195426941,2.70967745780945,2.7951807975769,3.01265811920166
TS,TZA,All,IPL,2.40740752220154,2.49593496322632,2.54320979118347,2.58666658401489,3
TS,UGA,All,IPL,2,2.31372547149658,2.38297867774963,2.46153855323792,3.10843372344971
TS,USA,All,IPL,2,2.18421053886414,2.20000004768372,2.21052622795105,10.5714282989502
TS,VEN,All,IPL,2,2.15555548667908,2.1850221157074,2.20129871368408,4
TS,VNM,All,IPL,2.13407826423645,2.35191631317139,2.45021653175354,2.71372556686401,3.32710289955139
IR,ARG,All,IPL,4.3985198772134e-07,5.12703422828054e-07,6.45401939891599e-07,1.88805847756157e-06,4.13310735893901e-05
IR,AUS,All,IPL,7.52685707539058e-07,1.57628130637022e-06,2.29495731218776e-06,1.14549575300771e-05,0.00174094317480922
IR,BDI,All,IPL,1.39029270940227e-06,3.84406484954525e-06,5.78676645091036e-06,9.89642467175145e-06,1.4893432307872e-05
IR,BEN,All,IPL,5.43603846381302e-07,6.06852864848406e-07,6.11351538282179e-07,6.18096805737878e-07,1.67760060776345e-06
IR,BGD,All,IPL,5.29506053226214e-07,6.29636247140297e-07,6.57959333238978e-07,6.94735945216962e-07,1.01076750524953e-06
IR,BLZ,All,IPL,1.52256097862846e-06,1.77164270098729e-06,1.83381848728459e-06,2.02125193027314e-06,4.65002704004291e-05
IR,BOL,All,IPL,2.47224107852162e-07,3.35299631615271e-07,4.0314250782103e-07,5.17649652920227e-07,5.24946808582172e-05
IR,BRA,All,IPL,2.3820736316793e-07,2.86729033405209e-07,3.15216283297559e-07,3.54107925204517e-07,0.000324132386595011
IR,CAF,All,IPL,2.32745634320963e-07,3.12794242063319e-07,3.29788548469878e-07,3.7139142250453e-07,5.86986789130606e-06
IR,CHN,All,IPL,3.98841422111218e-07,7.2275827278645e-07,1.03023353403842e-06,2.58177601608622e-06,0.00100654817651957
IR,CIV,All,IPL,3.17197248023149e-07,4.02289543899315e-07,4.58860597518651e-07,5.4256457815427e-07,6.22609206857305e-07
IR,CMR,All,IPL,2.42270061789895e-07,3.77597956457976e-07,4.77035712265206e-07,8.54743234413036e-07,0.000686180719640106
IR,COD,All,IPL,2.37141932757368e-07,3.49926835951919e-07,4.41324232269835e-07,5.58833392005909e-07,0.00204264954663813
IR,COG,All,IPL,3.66149606634281e-07,5.12507540406659e-07,5.74159798816254e-07,6.34487093975622e-07,9.82500296231592e-07
IR,COL,All,IPL,2.0336736383797e-07,2.75824618256593e-07,3.05543551348819e-07,3.48802302596596e-07,0.00100835831835866
IR,CRI,All,IPL,2.36179675994208e-06,6.46766648060293e-06,1.00642705547216e-05,1.62324740813347e-05,0.00158585433382541
IR,DMA,All,IPL,0.00011593022645684,0.000210494108614512,0.000216781132621691,0.00022854408598505,0.000373161805327982
IR,ECU,All,IPL,4.30358284120302e-07,8.31258375910693e-07,1.22680796721397e-06,2.48773744715436e-06,8.64794928929769e-05
IR,ETH,All,IPL,4.41021086317051e-07,9.22959884519514e-07,1.85607734692894e-06,3.10861196339829e-06,0.000434027489973232
IR,GAB,All,IPL,3.96234014488073e-07,5.40035046014964e-07,5.96848735767708e-07,6.96563859037269e-07,4.35709353041602e-06
IR,GTM,All,IPL,1.52275481468678e-06,2.18512627725431e-06,3.98268389290024e-06,1.11394888335781e-05,0.00506484322249889
IR,GUF,All,IPL,3.57293572506023e-07,4.33904801866447e-07,5.09431345108169e-07,5.2688164942083e-07,2.99217867905099e-06
IR,GUY,All,IPL,3.00081097748262e-07,3.58449057102916e-07,3.90266080785295e-07,5.59676379907614e-07,0.000352727336576208
IR,HND,All,IPL,3.55204377910923e-07,2.04619254873251e-06,2.68571523065475e-06,3.92475294574979e-06,0.0100597701966763
IR,IDN,All,IPL,0,1.3916637726652e-06,2.17501042243384e-06,5.63390176466783e-06,0.00726334936916828
IR,IND,All,IPL,7.87931568879685e-08,9.53846551965398e-07,1.67225550740113e-06,2.12103941521491e-06,0.00149704539217055
IR,KEN,All,IPL,6.62453430777532e-07,4.13966472478933e-06,6.36978711554548e-06,7.38427570468048e-06,0.0012103458866477
IR,KHM,All,IPL,7.42654208352178e-07,1.23931317830284e-06,1.42748854159436e-06,2.03025774681009e-06,4.06669496442191e-05
IR,LAO,All,IPL,6.4329219640058e-07,9.31466672682291e-07,1.19773960705061e-06,1.54037411448371e-06,0.000635714794043452
IR,LKA,All,IPL,3.94701373807038e-06,4.8505012273381e-06,5.23286371389986e-06,5.28562395629706e-06,6.75128467264585e-06
IR,MEX,All,IPL,6.12234771324438e-07,2.09707627618627e-06,3.10565246763872e-06,5.80506070946285e-06,0.00318916188552976
IR,MMR,All,IPL,4.94763924052677e-07,7.50137985505717e-07,8.93239871402329e-07,1.20595052521821e-06,8.24286034912802e-05
IR,MYS,All,IPL,9.72891712081037e-07,1.75239233612956e-06,2.15670752368169e-06,3.13317173095129e-06,0.00466766441240907
