Scenario,Country,Taxa,Area,Min,TukeyLH,Median,TukeyUH,Max
SR,VNM,All,IPL,0,0,0,1,6
TS,VNM,All,IPL,0,0,0,1,32
IR,VNM,All,IPL,0,0,0,0,0.5
SR,BDI,All,IPL,0,1,1,1,2
TS,BDI,All,IPL,0,2,2,2,5
IR,BDI,All,IPL,0,4.768126018461771e-6,4.768126018461771e-6,4.768126018461771e-6,1.2633053120225668e-4
SR,ARG,All,IPL,0,0,0,0,4
TS,ARG,All,IPL,0,0,0,0,9
IR,ARG,All,IPL,0,0,0,0,1.325941557297483e-4
SR,BEN,All,IPL,0,0,0,0,0
TS,BEN,All,IPL,0,0,0,0,0
IR,BEN,All,IPL,0,0,0,0,0
SR,AUS,All,IPL,0,0,0,0,2
TS,AUS,All,IPL,0,0,0,0,16
IR,AUS,All,IPL,0,0,0,0,0.12566401064395905
SR,BGD,All,IPL,0,1,1,1,1
TS,BGD,All,IPL,0,8,8,8,8
IR,BGD,All,IPL,0,4.2957540244970005e-6,4.2957540244970005e-6,4.2957540244970005e-6,4.2957540244970005e-6
SR,BLZ,All,IPL,0,0,2,2,5
TS,BLZ,All,IPL,0,0,2,2,3.200000047683716
IR,BLZ,All,IPL,0,0,2.300926382758917e-7,2.300926382758917e-7,0.00238160439766943
SR,BOL,All,IPL,0,0,4,6,8
TS,BOL,All,IPL,0,0,2.857142925262451,3,5
IR,BOL,All,IPL,0,0,2.228917992397328e-7,2.538510273097927e-7,2.344319800613448e-4
SR,CAF,All,IPL,0,0,0,0,4
TS,CAF,All,IPL,0,0,0,0,32
IR,CAF,All,IPL,0,0,0,0,2.7555541237234135e-5
SR,CIV,All,IPL,0,0,0,0,0
TS,CIV,All,IPL,0,0,0,0,0
IR,CIV,All,IPL,0,0,0,0,0
SR,CMR,All,IPL,0,0,0,0,4
TS,CMR,All,IPL,0,0,0,0,32
IR,CMR,All,IPL,0,0,0,0,0.00515702320262789
SR,BRA,All,IPL,0,3,4,6,10
TS,BRA,All,IPL,0,2,2,2.857142925262451,9
SR,CHN,All,IPL,0,0,0,0,3
IR,BRA,All,IPL,0,1.930779092162993e-7,2.348846663835502e-7,2.675936627838383e-7,0.00833353493362665
TS,CHN,All,IPL,0,0,0,0,32
IR,CHN,All,IPL,0,0,0,0,0.1111111119389534
SR,COD,All,IPL,0,0,0,0,4
TS,COD,All,IPL,0,0,0,0,32
IR,COD,All,IPL,0,0,0,0,0.12506766617298126
SR,COG,All,IPL,0,1,2,2,4
TS,COG,All,IPL,0,12.333333015441896,17,32,32
IR,COG,All,IPL,0,1.2575278560689185e-6,1.635790908949275e-6,1.635790908949275e-6,2.7555541237234135e-5
SR,CRI,All,IPL,0,2,3,3,7
TS,CRI,All,IPL,0,2,2,2,7.5
IR,CRI,All,IPL,0,2.0512163700914243e-6,3.0546791094820946e-5,5.402899842010811e-5,0.12503676116466522
SR,COL,All,IPL,0,3,3,3,12
SR,DMA,All,IPL,0,0,0,0,0
TS,DMA,All,IPL,0,0,0,0,0
IR,DMA,All,IPL,0,0,0,0,0
TS,COL,All,IPL,0,2,2,2,9
IR,COL,All,IPL,0,2.105693397425057e-7,2.105693397425057e-7,2.105693397425057e-7,0.06666677445173264
SR,ECU,All,IPL,0,5,6,7,9
TS,ECU,All,IPL,0,2,2.857142925262451,3,9
IR,ECU,All,IPL,0,9.114363024309568e-7,1.052790139510762e-6,5.542171948036412e-6,0.00387607468292117
SR,ETH,All,IPL,0,0,0,0,0
TS,ETH,All,IPL,0,0,0,0,0
IR,ETH,All,IPL,0,0,0,0,0
SR,GUF,All,IPL,0,6,7,8,10
TS,GUF,All,IPL,0,2,2,2,2
IR,GUF,All,IPL,0,4.694059043686139e-7,7.754949820082402e-7,8.459829814455588e-7,6.788861355744302e-5
SR,GTM,All,IPL,0,0,1,3,5
TS,GTM,All,IPL,0,0,2,2,32
IR,GTM,All,IPL,0,0,2.239255110225713e-7,1.3999321026858524e-6,0.16666924953460693
SR,GAB,All,IPL,0,1,1,3,3
TS,GAB,All,IPL,0,12.333333015441896,17.5,32,32
IR,GAB,All,IPL,0,1.2575278560689185e-6,1.2575278560689185e-6,1.76308549271198e-6,4.818607121706009e-4
SR,GUY,All,IPL,0,4,7,8,11
TS,GUY,All,IPL,0,2,2,2,3.4000000953674316
IR,GUY,All,IPL,0,3.020245742391126e-7,4.95948995649087e-7,5.896891934753512e-7,1.3296761608216912e-4
SR,HND,All,IPL,0,0,2,3,4
TS,HND,All,IPL,0,0,2,2,2.5
IR,HND,All,IPL,0,0,2.0512163700914243e-6,2.6907366645900765e-6,3.5464574466459453e-4
SR,KEN,All,IPL,0,0,0,0,2
TS,KEN,All,IPL,0,0,0,0,3
IR,KEN,All,IPL,0,0,0,0,0.02778016217052936
SR,KHM,All,IPL,0,0,0,0,1
TS,KHM,All,IPL,0,0,0,0,32
IR,KHM,All,IPL,0,0,0,0,7.25163146853447e-4
SR,LAO,All,IPL,0,0,1,1,2
TS,LAO,All,IPL,0,0,1,32,32
IR,LAO,All,IPL,0,0,0,8.991455615614541e-7,0.05000000074505806
SR,IDN,All,IPL,0,0,1,1,13
TS,IDN,All,IPL,0,0,2,8,32
